Authors,Title,Year,Source title,Cited by,Link,Abstract,Author Keywords,Index Keywords,EID
"Canvasser N.E., Ramo C., Morgan T.M., Zheng K., Hollenbeck B.K., Ghani K.R.",The use of social media in Endourology: An analysis of the 2013 World Congress of Endourology meeting,2015,Journal of Endourology,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928944714&doi=10.1089%2fend.2014.0329&partnerID=40&md5=486b23c948c5ff17e280e1dc14a31837,"To examine the use of social media within Endourology by reporting on its utilization during the 2013 World Congress of Endourology (WCE) annual meeting. Materials and Methods: Two social media platforms were analyzed for this study: Twitter (San Francisco, CA) and LinkedIn (Mountain View, CA). For Twitter, a third-party analysis service (Tweetreach) was used to quantitatively analyze all tweets with the hashtags #WCE2013 and #WCE13 during a 7-day period surrounding the WCE. Two reviewers independently classified tweet content using a predefined Twitter-specific classification system. Tweet sentiment was determined using sentiment analysis software (Semantria, Inc., Amherst, MA). Finally, the penetration of Twitter and LinkedIn within the WCE faculty was assessed by means of a manual search. Results: During the study period, 335 tweets had the hashtag #WCE2013 or #WCE13. Content originated from 68 users resulting in a mean of 47 tweets/day and 4.9 tweets/contributor. Conference-related tweets had a reach of 38,141 unique Twitter accounts and an online exposure of 188,629 impressions. Physicians generated the majority of the content (63%), of which 55.8% were not attending the meeting. More tweets were informative (56.7%) versus uninformative (43.3%), and 17.9% had links to an external web citation. The mean sentiment score was 0.13 (range-0.90 to 1.80); 13.1%, 57.0%, and 29.9% of tweets were negative, neutral, and positive in sentiment, respectively. Of 302 WCE meeting faculty, 150 (49.7%) had registered LinkedIn accounts while only 52 (17.2%) had Twitter accounts, and only 19.2% tweeted during the meeting. Conclusions: Despite a relatively low number of Twitter users, tweeting about the WCE meeting dramatically increased its online exposure with dissemination of content that was mostly informative including engagement with physicians not attending the conference. While half of faculty at WCE 2013 had LinkedIn accounts, their social media footprint in Twitter was limited. © 2015 Mary Ann Liebert, Inc.",,classification; computer program; Conference Paper; endourology; exposure; human; online analysis; physician; priority journal; qualitative analysis; quantitative analysis; social media; United States; university; organization; physician; social media; urology; utilization; Congresses as Topic; Humans; Physicians; Social Media; Urology,2-s2.0-84928944714
"Nabil M., Aly M., Atiya A.F.",ASTD: Arabic sentiment tweets dataset,2015,Conference Proceedings - EMNLP 2015: Conference on Empirical Methods in Natural Language Processing,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957540556&partnerID=40&md5=3bd6858ac8ba13f33970e87efe029ff9,"This paper introduces ASTD, an Arabic social sentiment analysis dataset gathered from Twitter. It consists of about 10,000 tweets which are classified as objective, subjective positive, subjective negative, and subjective mixed. We present the properties and the statistics of the dataset, and run experiments using standard partitioning of the dataset. Our experiments provide benchmark results for 4 way sentiment classification on the dataset. © 2015 Association for Computational Linguistics.",,Classification (of information); Computational linguistics; Sentiment analysis; Sentiment classification; Natural language processing systems,2-s2.0-84957540556
"Yu L.-C., Wang J., Lai K.R., Zhang X.-J.",Predicting valence-arousal ratings of words using a weighted graph method,2015,"ACL-IJCNLP 2015 - 53rd Annual Meeting of the Association for Computational Linguistics and the 7th International Joint Conference on Natural Language Processing of the Asian Federation of Natural Language Processing, Proceedings of the Conference",15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944031228&partnerID=40&md5=c94e3dfc895b0855d745f27733f6faa4,"Compared to the categorical approach that represents affective states as several discrete classes (e.g., positive and negative), the dimensional approach represents affective states as continuous numerical values on multiple dimensions, such as the valence-arousal (VA) space, thus allowing for more fine-grained sentiment analysis. In building dimensional sentiment applications, affective lexicons with valence-arousal ratings are useful resources but are still very rare. Therefore, this study proposes a weighted graph model that considers both the relations of multiple nodes and their similarities as weights to automatically determine the VA ratings of affective words. Experiments on both English and Chinese affective lexicons show that the proposed method yielded a smaller error rate on VA prediction than the linear regression, kernel method, and pagerank algorithm used in previous studies. © 2015 Association for Computational Linguistics.",,Computational linguistics; Graph theory; Graphic methods; Linguistics; Affective state; Affective words; Multiple dimensions; Multiple nodes; Numerical values; PageRank algorithm; Sentiment analysis; Weighted graph; Kernel methods; Natural language processing systems,2-s2.0-84944031228
"Katz G., Ofek N., Shapira B.",ConSent: Context-based sentiment analysis,2015,Knowledge-Based Systems,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929505122&doi=10.1016%2fj.knosys.2015.04.009&partnerID=40&md5=1ca2137966819385b1acc21afc8fb459,"We present ConSent, a novel context-based approach for the task of sentiment analysis. Our approach builds on techniques from the field of information retrieval to identify key terms indicative of the existence of sentiment. We model these terms and the contexts in which they appear and use them to generate features for supervised learning. The two major strengths of the proposed model are its robustness against noise and the easy addition of features from multiple sources to the feature set. Empirical evaluation over multiple real-world domains demonstrates the merit of our approach, compared to state-of the art methods both in noiseless and noisy text. © 2015 Elsevier B.V. All rights reserved.",Context; Machine learning; Noisy data; Sentiment analysis,Artificial intelligence; Learning systems; Context; Empirical evaluations; Multiple source; Noisy data; Real world domain; Robustness against noise; Sentiment analysis; State-of-the-art methods; Data mining,2-s2.0-84929505122
"Hooghe M., de Vroome T.",The perception of ethnic diversity and anti-immigrant sentiments: a multilevel analysis of local communities in Belgium,2015,Ethnic and Racial Studies,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84912011481&doi=10.1080%2f01419870.2013.800572&partnerID=40&md5=62164154cb8cb51430689f742c600f90,"Most of the literature suggests a positive relationship between immigrant concentration and anti-immigrant sentiments. The main goal of this study is to investigate the impact of both perceived and actual size of migrant populations on anti-immigrant sentiments. A representative survey of inhabitants of local communities in the Flemish region of Belgium shows a strong tendency to overestimate the presence of non-nationals. The survey allows us to conclude that respondents living in ethnically diverse communities do not have more negative attitudes towards immigrants. Individuals who perceive more immigrants to be present in their communities are more hostile even after controlling for reported contact with members of immigrant groups. We can therefore conclude that the perceived size of the immigrant group has a stronger impact on anti-immigrant sentiments than the actual presence of ethnic minority groups. © 2014, © 2014 Taylor & Francis.",anti-immigrant sentiments; Belgium; community; ethnic diversity; group conflict theory,ethnic minority; immigrant; multiculturalism; perception; psychology; Belgium,2-s2.0-84912011481
"Sanchez-Gordon M.-L., O’Connor R.V., Colomo-Palacios R.",Evaluating VSES viewpoint and sentiment towards the ISO/IEC 29110 standard: A two Country grounded theory study,2015,Communications in Computer and Information Science,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937438609&doi=10.1007%2f978-3-319-19860-6_10&partnerID=40&md5=2e45bae828f7bf8a0f6d2702179cd3c9,"The ISO/IEC 29110 standard has at its core a Management and Engineering Guide [1] which are targeted at very small entities (enterprises, organizations, departments or projects) having up to 25 people [2], to assist them unlock the potential benefits of using standards which are specifically designed to address their needs. This paper is concerned with understanding the issues that affect the adoption of software process standards by Very Small Entities (VSEs), their needs from process standards and their willingness to engage with the new ISO/IEC 29110 standard in particular. This paper bring together two complimentary studies undertaken in Ireland and Ecuador which pose questions to VSE management regarding opinions, attitude and sentiment towards the adoption of the VSE designed standard ISO/IEC 29110. A series of interviews were untaken in both countries counties with qualitative data analysis utilizing the grounded theory coding mechanisms, to produce a picture of the current situation. This paper serves as a roadmap for both researchers wishing to understand the issues of process standards adoption by very small companies and also for the software process standards community. © Springer International Publishing Switzerland 2015.",ISO; ISO/IEC 29110; Process improvement; Standards; VSE,Electric grounding; Process engineering; Current situation; ISO; ISO/IEC; Potential benefits; Process Improvement; Process standards; Qualitative data analysis; VSE; Standards,2-s2.0-84937438609
Teodorescu H.-N.,Using Analytics and Social Media for Monitoring and Mitigation of Social Disasters,2015,Procedia Engineering,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946058797&doi=10.1016%2fj.proeng.2015.06.088&partnerID=40&md5=f3a5ee9e464b9d5526a8497ea4a15e82,"Public safety and emergency managementrequires tools that detect promptly the occurrence of emergencies and create a correct and detailed picture of the situation. Such tools may help alleviating desolation under harsh conditions related to natural or human-made disasters by fast and semi-automatic identification of the type, extent, place, intensity, and implications of the disaster.The research refers to the use of analytics to identify emergencies and recent disasters, based on social networks and media search, and direct relief proportional to the needs.We establish controlled vocabularies for a regional search (keywords to search in two languages) and propose ways to improve the search algorithms, and concepts and methods to interpret the findings.Several examples are discussed and conclusions are drawn. © 2015 The Authors. Publish by Elsevier Ltd.",analytics; disaster relief; emergency management; emerging technologies; humanitarian engineering; media analysis; public safety; sentiment analysis; social media; text analytics,Automation; Disaster prevention; Risk management; Safety engineering; Social networking (online); analytics; Disaster relief; Emergency management; Emerging technologies; Humanitarian engineering; Media analysis; Public safety; Sentiment analysis; Social media; Text analytics; Disasters,2-s2.0-84946058797
"Cambria E., Poria S., Bisio F., Bajpai R., Chaturvedi I.",The CLSA model: A novel framework for concept-level sentiment analysis,2015,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942524192&doi=10.1007%2f978-3-319-18117-2_1&partnerID=40&md5=d7b16ed3d3d79137c81dfdad627753d3,"Hitherto, sentiment analysis has been mainly based on algorithms relyingon the textual representation of online reviews and microblogging posts.Such algorithms are very good at retrieving texts, splitting them into parts, checkingthe spelling, and counting their words. But when it comes to interpretingsentences and extracting opinionated information, their capabilities are knownto be very limited. Current approaches to sentiment analysis are mainly basedon supervised techniques relying on manually labeled samples, such as movieor product reviews, where the overall positive or negative attitude was explicitlyindicated. However, opinions do not occur only at document-level, nor theyare limited to a single valence or target. Contrary or complementary attitudes towardthe same topic or multiple topics can be present across the span of a review.In order to overcome this and many other issues related to sentiment analysis,we propose a novel framework, termed concept-level sentiment analysis (CLSA)model, which takes into account all the natural-language-processing tasks necessaryfor extracting opinionated information from text, namely: microtext analysis,semantic parsing, subjectivity detection, anaphora resolution, sarcasm detection,topic spotting, aspect extraction, and polarity detection. © Springer International Publishing Switzerland 2015.",,Algorithms; Computational linguistics; Linguistics; Natural language processing systems; Semantics; Text processing; Anaphora resolution; NAtural language processing; Product reviews; Retrieving texts; Semantic parsing; Sentiment analysis; Textual representation; Topic spotting; Data mining,2-s2.0-84942524192
"Kanavos A., Perikos I., Vikatos P., Hatzilygeroudis I., Makris C., Tsakalidis A.",Conversation Emotional Modeling in Social Networks,2014,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI",15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937839294&doi=10.1109%2fICTAI.2014.78&partnerID=40&md5=a45f0f942631602aec717007b55f4013,"Over the last years, the advent of social networks has changed the way of human communication giving users the ability to express their thoughts and opinions. In this paper, we present a work on analyzing human communication and interaction in Twitter. The aim is to get indicative factors about user's behavior as well as public stance and attitude towards various events around the globe. The methodology initially analyzes users' tweets and determines their emotional content based on Ekman emotional scale. Then, user's characteristics and behavior in Twitter are analyzed and their influence in the network is calculated. Based on tweets emotional content as well as user's influence, the conversation emotional graphs are developed to model and represent user's emotional interactions. Furthermore, we introduce a prediction method using machine learning techniques in order to discover the changes of topic emotional content during users' discussion. © 2014 IEEE.",Conversation Emotional Modeling; Graph Mining; Sentiment Analysis; Tweet Emotion Recognition; User Influence,Artificial intelligence; Learning systems; Social networking (online); Emotion recognition; Emotional models; Graph mining; Sentiment analysis; User influences; Behavioral research,2-s2.0-84937839294
"Kim J.S., Ryu D., Seo S.W.",Investor sentiment and return predictability of disagreement,2014,Journal of Banking and Finance,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84894364540&doi=10.1016%2fj.jbankfin.2014.01.017&partnerID=40&md5=610a43ba0057ea629a98fbb17542f9cb,"This study examines the influence of investor sentiment on the relationship between disagreement among investors and future stock market returns. We find that the relationship between disagreement and future stock market returns time-varies with the degree of investor sentiment. Higher disagreement among investors' opinions predicts significantly lower future stock market returns during high-sentiment periods, but it has no significant effect on future stock market returns during low-sentiment periods. Our findings imply that investor sentiment is related to several causes of short-sale impediments suggested in the previous literature on investor sentiment, and that the stock return predictability of disagreement is driven by investor sentiment. We demonstrate that investor sentiment has a significant impact on the stock market return predictability of disagreement through in-sample and out-of-sample analyses. In addition, the profitability of our suggested trading strategy exploiting disagreement and investor sentiment level confirms the economic significance of incorporating investor sentiment into the relationship between disagreement among investors and future stock market returns. © 2014 Elsevier B.V.",Disagreement; Investor sentiment; Return predictability,,2-s2.0-84894364540
"Ogan C., Willnat L., Pennington R., Bashir M.",The rise of anti-Muslim prejudice: Media and Islamophobia in Europe and the United States,2014,International Communication Gazette,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892893659&doi=10.1177%2f1748048513504048&partnerID=40&md5=026ac608a33c89db2b423e3e9885ba9f,"The goal of this study is to determine the possible factors leading to increased anti-Muslim sentiment or Islamophobia in a comparative examination of public opinion in the United States and Europe. Secondary analyses of data from the 2008 Pew Global Attitude Project and the 2010 Pew News Interest Index, allow us to assess the role of religious practice, news interest and political affiliation in the attitudes toward Muslim minorities in several countries. Predictors of anti-Muslim attitudes include being politically more conservative and being older in all countries, and paying close attention to news coverage of the Park51 Islamic Community Center in the United States (which was proposed to be built near Ground Zero in New York). In France, but not in the other countries of the study, the importance of the respondents' religion was positively related to anti-Muslim attitudes. © The Author(s) 2013.",anti-immigration attitudes; anti-Muslim attitudes; Islamophobia; media coverage; public opinion polls; secondary comparative analysis,,2-s2.0-84892893659
"Zheng X., Lin Z., Wang X., Lin K.-J., Song M.",Incorporating appraisal expression patterns into topic modeling for aspect and sentiment word identification,2014,Knowledge-Based Systems,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84897411279&doi=10.1016%2fj.knosys.2014.02.003&partnerID=40&md5=209dbb01981b0b23a6cf9b5fc68cdcdf,"With the considerable growth of user-generated content, online reviews are becoming extremely valuable sources for mining customers' opinions on products and services. However, most of the traditional opinion mining methods are coarse-grained and cannot understand natural languages. Thus, aspect-based opinion mining and summarization are of great interest in academic and industrial research. In this paper, we study an approach to extract product and service aspect words, as well as sentiment words, automatically from reviews. An unsupervised dependency analysis-based approach is presented to extract Appraisal Expression Patterns (AEPs) from reviews, which represent the manner in which people express opinions regarding products or services and can be regarded as a condensed representation of the syntactic relationship between aspect and sentiment words. AEPs are high-level, domain-independent types of information, and have excellent domain adaptability. An AEP-based Latent Dirichlet Allocation (AEP-LDA) model is also proposed. This is a sentence-level, probabilistic generative model which assumes that all words in a sentence are drawn from one topic - a generally true assumption, based on our observation. The model also assumes that every review corpus is composed of several mutually corresponding aspect and sentiment topics, as well as a background word topic. The AEP information is incorporated into the AEP-LDA model for mining aspect and sentiment words simultaneously. The experimental results on reviews of restaurants, hotels, MP3 players, and cameras show that the AEP-LDA model outperforms other approaches in identifying aspect and sentiment words. © 2014 Elsevier B.V. All rights reserved.",Appraisal expression pattern; Aspect and sentiment analysis; Dependency analysis; Opinion mining; Topic modeling,Data mining; Industrial research; Mining; Sound recording; Statistics; Dependency analysis; Expression patterns; Opinion mining; Sentiment analysis; Topic Modeling; Natural language processing systems,2-s2.0-84897411279
"Dragoni M., Tettamanzi A.G.B., da Costa Pereira C.",A Fuzzy system for Concept-Level Sentiment Analysis,2014,Communications in Computer and Information Science,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908540247&doi=10.1007%2f978-3-319-12024-9_2&partnerID=40&md5=9f2ce83029dc15ade89a7f536ef66978,"An emerging field within Sentiment Analysis concerns the investigation about how sentiment concepts have to be adapted with respect to the different domains in which they are used. In the context of the Concept-Level Sentiment Analysis Challenge, we presented a system whose aims are twofold: (i) the implementation of a learning approach able to model fuzzy functions used for building the relationships graph representing the appropriateness between sentiment concepts and different domains (Task 1); and (ii) the development of a semantic resource based on the connection between an extended version of WordNet, SenticNet, and ConceptNet, that has been used both for extracting concepts (Task 2) and for classifying sentences within specific domains (Task 3). © Springer International Publishing Switzerland 2014.",,Semantic Web; ConceptNet; Different domains; Extended versions; Extracting concept; Fuzzy function; Learning approach; Semantic resources; Sentiment analysis; Data mining,2-s2.0-84908540247
"Joo J., Li W., Steen F.F., Zhu S.-C.",Visual persuasion: Inferring communicative intents of images,2014,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84911364912&doi=10.1109%2fCVPR.2014.35&partnerID=40&md5=4a527d5f20fe6c9ad0e435461a907a9b,"In this paper we introduce the novel problem of understanding visual persuasion. Modern mass media make extensive use of images to persuade people to make commercial and political decisions. These effects and techniques are widely studied in the social sciences, but behavioral studies do not scale to massive datasets. Computer vision has made great strides in building syntactical representations of images, such as detection and identification of objects. However, the pervasive use of images for communicative purposes has been largely ignored. We extend the significant advances in syntactic analysis in computer vision to the higher-level challenge of understanding the underlying communicative intent implied in images. We begin by identifying nine dimensions of persuasive intent latent in images of politicians, such as 'socially dominant, ' 'energetic, ' and 'trustworthy, ' and propose a hierarchical model that builds on the layer of syntactical attributes, such as 'smile' and 'waving hand, ' to predict the intents presented in the images. To facilitate progress, we introduce a new dataset of 1, 124 images of politicians labeled with ground-truth intents in the form of rankings. This study demonstrates that a systematic focus on visual persuasion opens up the field of computer vision to a new class of investigations around mediated images, intersecting with media analysis, psychology, and political communication. © 2014 IEEE.",Communicative Intents; Human Attributes; Media Application; Visual Persuasion; Visual Sentiment Analysis,Behavioral research; Hierarchical systems; Pattern recognition; Syntactics; Communicative intent; Human attributes; Media application; Sentiment analysis; Visual Persuasion; Computer vision,2-s2.0-84911364912
"Guo D., Chen C.",Detecting non-personal and spam users on geo-tagged twitter network,2014,Transactions in GIS,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902269350&doi=10.1111%2ftgis.12101&partnerID=40&md5=9cf1387d10a71c2af805c92d5db59f21,"With the rapid growth and popularity of mobile devices and location-aware technologies, online social networks such as Twitter have become an important data source for scientists to conduct geo-social network research. Non-personal accounts, spam users and junk tweets, however, pose severe problems to the extraction of meaningful information and the validation of any research findings on tweets or twitter users. Therefore, the detection of such users is a critical and fundamental step for twitter-related geographic research. In this study, we develop a methodological framework to: (1) extract user characteristics based on geographic, graph-based and content-based features of tweets; (2) construct a training dataset by manually inspecting and labeling a large sample of twitter users; and (3) derive reliable rules and knowledge for detecting non-personal users with supervised classification methods. The extracted geographic characteristics of a user include maximum speed, mean speed, the number of different counties that the user has been to, and others. Content-based characteristics for a user include the number of tweets per month, the percentage of tweets with URLs or Hashtags, and the percentage of tweets with emotions, detected with sentiment analysis. The extracted rules are theoretically interesting and practically useful. Specifically, the results show that geographic features, such as the average speed and frequency of county changes, can serve as important indicators of non-personal users. For non-spatial characteristics, the percentage of tweets with a high human factor index, the percentage of tweets with URLs, and the percentage of tweets with mentioned/replied users are the top three features in detecting non-personal users. © 2014 John Wiley & Sons Ltd.",,classification; detection method; geographical research; graphical method; Internet; mobile communication; network analysis; research work; social network,2-s2.0-84902269350
"Slavakis K., Kim S.-J., Mateos G., Giannakis G.B.",Stochastic approximation vis-à-vis online learning for big data analytics,2014,IEEE Signal Processing Magazine,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84908158269&doi=10.1109%2fMSP.2014.2345536&partnerID=40&md5=acbbc47f31bac1b99205feb177039e6b,"We live in an era of data deluge, where data translate to knowledge and can thus contribute in various directions if harnessed and processed intelligently. There is no doubt that signal processing (SP) is of uttermost relevance to timely big data applications such as real-time medical imaging, smart cities, network state visualization and anomaly detection (e.g., in the power grid and the Internet), health informatics for personalized treatment, sentiment analysis from online social media, Web-based advertising, recommendation systems, sensor-empowered structural health monitoring, and e-commerce fraud detection, just to name a few. Accordingly, abundant chances unfold to SP researchers and practitioners for fundamental contributions in big data theory and practice. © 1991-2012 IEEE.",,Computer aided network analysis; Data visualization; Electronic commerce; Medical imaging; Online systems; Real time systems; Signal processing; Smart power grids; Social networking (online); Stochastic systems; Structural health monitoring; Anomaly detection; Big data applications; Fraud detection; Health informatics; Online learning; Online social medias; Sentiment analysis; Stochastic approximations; Big data,2-s2.0-84908158269
"Bickes H., Otten T., Weymann L.C.","The financial crisis in the German and English press: Metaphorical structures in the media coverage on Greece, Spain and Italy",2014,Discourse and Society,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903897234&doi=10.1177%2f0957926514536956&partnerID=40&md5=54afa281900230c8e0ef4e41ae0d8e47,"The German media presentation of the so-called Greek financial crisis caused an unexpected uproar in Germany. An anti-Greek sentiment evolved and spread among German citizens and solidarity for crisis-hit Greece was mostly rejected. Public surveys revealed that many Germans even wanted Greece to exit the Eurozone immediately. This article highlights the crucial role of the media in shaping the negative public opinion. In 2010, a period which has lately been referred to as Greek bashing, the German press had discussed the Greek financial crisis heatedly and controversially. Europe's largest daily newspaper, BILD, published numerous reports that implicitly and explicitly constituted the myth of the corrupt and lazy Greeks in comparison to the hard-working Germans. In 2012, the crisis had spread much further, and not only Greece but other countries too were suffering from high debt, economic stagnation and unemployment. The news coverage became more moderate and conciliating and presented the dramatic social consequences for the respective population. This study highlights not only the development of the German media's tenor on the Greek crisis through time, but adds an international perspective and widens the view by comparing the media treatment of the different countries involved. Based on 122 online articles, the study methodologically focuses on the analysis of metaphorical language in the news coverage of three comparable international news magazines: SPIEGEL (Germany), The Economist (the UK) and TIME (the USA), and contrasts the representation of Greece with the depiction of larger indebted European countries like Spain and Italy. The analysis shows remarkable differences in the evaluation and presentation of the crisis, which can be linked to the degree of involvement of Germany, the UK and the USA in European policies. © The Author(s) 2014.",Critical discourse analysis; discourse positions; German/English press; Greek/European financial crisis; media coverage; metaphor analysis,,2-s2.0-84903897234
"Misopoulos F., Mitic M., Kapoulas A., Karapiperis C.",Uncovering customer service experiences with Twitter: The case of airline industry,2014,Management Decision,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904624207&doi=10.1108%2fMD-03-2012-0235&partnerID=40&md5=89e9180ffccd2bc058610a465b38b045,"Purpose: In this paper the authors present a study that uses Twitter to identify critical elements of customer service in the airline industry. The goal of the study was to uncover customer opinions about services by monitoring and analyzing public Twitter commentaries. The purpose of this paper is to identify elements of customer service that provide positive experiences to customers as well as to identify service processed and features that require further improvements. Design/methodology/approach: The authors employed the approach of sentiment analysis as part of the netnography study. The authors processed 67,953 publicly shared tweets to identify customer sentiments about services of four airline companies. Sentiment analysis was conducted using the lexicon approach and vector-space model for assessing the polarity of Twitter posts. Findings: By analyzing Twitter posts for their sentiment polarity the authors were able to identify areas of customer service that caused customer satisfaction, dissatisfaction as well as delight. Positive sentiments were linked mostly to online and mobile check-in services, favorable prices, and flight experiences. Negative sentiments revealed problems with usability of companies' web sites, flight delays and lost luggage. Evidence of delightful experiences was recorded among services provided in airport lounges. Originality/value: Paper demonstrates how sentiment analysis of Twitter feeds can be used in research on customer service experiences, as an alternative to Kano and SERVQUAL models. © Emerald Group Publishing Limited.",Airlines; Customer service; Service industries; Social networks,,2-s2.0-84904624207
"Wang X., Zhang C., Ji Y., Sun L., Wu L., Bao Z.",A depression detection model based on sentiment analysis in micro-blog social network,2013,Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics),15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84892858455&doi=10.1007%2f978-3-642-40319-4_18&partnerID=40&md5=7cd1e75340198127ba0f68f3f1d2e3d9,"Datasets originating from social networks are valuable to many fields such as sociology and psychology. But the supports from technical perspective are far from enough, and specific approaches are urgently in need. This paper applies data mining to psychology area for detecting depressed users in social network services. Firstly, a sentiment analysis method is proposed utilizing vocabulary and man-made rules to calculate the depression inclination of each micro-blog. Secondly, a depression detection model is constructed based on the proposed method and 10 features of depressed users derived from psychological research. Then 180 users and 3 kinds of classifiers are used to verify the model, whose precisions are all around 80%. Also, the significance of each feature is analyzed. Lastly, an application is developed within the proposed model for mental health monitoring online. This study is supported by some psychologists, and facilitates them in data-centric aspect in turn. © Springer-Verlag 2013.",Chinese sentiment analysis; Data mining; Depression,Data centric; Depression; Detection models; Mental health; Micro-blog; Psychological research; Sentiment analysis; Social network services; Internet; Social networking (online); Data mining,2-s2.0-84892858455
Veltri G.A.,Microblogging and nanotweets: Nanotechnology on Twitter,2013,Public Understanding of Science,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84884391023&doi=10.1177%2f0963662512463510&partnerID=40&md5=a655b5ccba3da08455d0c04ee68a05eb,"The social web represents a new arena for local, national and global conversations and will play an increasing role in the public understanding of science. This paper presents an analysis of the representations of nanotechnology on Twitter, analysing over 24,000 tweets in terms of web metrics, latent semantic and sentiment analysis. Results indicate that most active users on nanotechnology are distributed according to a power law distribution and that web metric indicators suggest little conversation on the topic. In terms of content, there is a remarkable similarity with previous studies of nanotechnology's representations in other media outlets. Related to content is the sentiment analysis that indicates predominantly positively loaded words in the corpus. Negative sentiments mainly took the form of uncertainty and fear of the unknown rather than open hostility. © The Author(s) 2012.",latent semantic analysis; nanotechnology; opinion mining; social web; Twitter,,2-s2.0-84884391023
"Ahmed S., Pasquier M., Qadah G.",Key issues in conducting sentiment analysis on Arabic social media text,2013,"2013 9th International Conference on Innovations in Information Technology, IIT 2013",15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84881103158&doi=10.1109%2fInnovations.2013.6544396&partnerID=40&md5=7f3f28f0d9780144a2cf527fa288d4c6,"The problem of extracting sentiments from text is a very complex task, in particular due to the significant amount of Natural Language Processing (NLP) required. This task becomes even more difficult when dealing with morphologically rich languages such as Modern Standard Arabic (MSA) and when processing brief, noisy texts such as 'tweets' or 'Facebook statuses'. This paper highlights key issues researchers are facing and innovative approaches that have been developed when performing subjectivity and sentiment analysis (SSA) on Arabic text in general and Arabic social media text in particular. A preprocessing phase to sentiment analysis is proposed and shown to noticeably improve the results of sentiment extraction from Arabic social media data. © 2013 IEEE.",arabic language; natural language processing; sentiment analysis; social media text,Arabic languages; Innovative approaches; Modern standards; NAtural language processing; Preprocessing phase; Sentiment analysis; Social media; Social media datum; Information technology; Natural language processing systems; Data mining,2-s2.0-84881103158
"Sauper C., Barzilay R.",Automatic aggregation by joint modeling of aspects and values,2013,Journal of Artificial Intelligence Research,15,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84875527658&partnerID=40&md5=f4f0f0901e6a0cc61c7b330c044d2cf6,"We present a model for aggregation of product review snippets by joint aspect identification and sentiment analysis. Our model simultaneously identifies an underlying set of ratable aspects presented in the reviews of a product (e.g., sushi and miso for a Japanese restaurant) and determines the corresponding sentiment of each aspect. This approach directly enables discovery of highly-rated or inconsistent aspects of a product. Our generative model admits an efficient variational mean-field inference algorithm. It is also easily extensible, and we describe several modifications and their effects on model structure and inference. We test our model on two tasks, joint aspect identification and sentiment analysis on a set of Yelp reviews and aspect identification alone on a set of medical summaries. We evaluate the performance of the model on aspect identification, sentiment analysis, and per-word labeling accuracy. We demonstrate that our model outperforms applicable baselines by a considerable margin, yielding up to 32% relative error reduction on aspect identification and up to 20% relative error reduction on sentiment analysis. © 2013 AI Access Foundation. All rights reserved.",,Aspect identifications; Automatic aggregations; Generative model; Inference algorithm; Labeling accuracies; Product reviews; Relative errors; Sentiment analysis; Inference engines; Data mining,2-s2.0-84875527658
